text,label
ᄂᄀᄀᄈ 꺼져,1
씹퇭아,1
누군지모르지만 요즘걸그룹창여들다발라버리네..,0
자살하면 다음생 좋은데 갈꺼같냐ㅋㅋ?절때 못가지금수저로는 더더욱 못태어남100프로흙수저로 태어날듯,1
니좆이*다 니좆이*다 니좆이*다,1
맞노 세상에는 어차피 수많은 논리들이 존재하기 때문에 맞고 그름이란 이론적으로 얼마든지 뒤집을수 있노 논리가 아니라 자기한테 이득가는 대로 가는게 진짜 맞는거노 내가 정한것도 아닌 도덕적 잣대 주입받고 그거에 맞춰살려고 끙끙 대고하는거는 개개개돼지 맞노,1
너 진짜 게년 같다,1
완전 ᄒᄅᄂ~이네,1
"존나 불쌍하다.., 난 혼자 살아서 낮에 집 계속 비는데 낮에만이라도 집에 있으라 하고 싶네 애휴..안 됐다 애미는 그렇다쳐도 애는.. 좋은 환경에서 좋은거 먹고 좋은거 보면서 자라야 하는데..",1
씨#발이 씨#발이 씨#발이,1
주제도 오질라게 모르고 앉아있노 갈아탈 여자가 있을줄 아나보노,1
이름이 부끄럽습니다,1
막돼먹은영애씨 진짜 판박이!,1
전라도는 인구 소멸 우려될 정도로 인구가 엄청 줄었는데 공무원 10% 증가 ㅋㅋ 개같은 사회주의 지상낙원 싸우스 코리아 전라 프라빈스,0
따뜻한거지 편하기는병신아,0
가볍게 생겼자녀.딱봐도.양하치,0
린사모 터질까봐 이슈 돌리는거지 ㅋㅋ,1
너 진짜 %ᄆᄎᄉᄁ 같다,1
저 시방년 때문에 게임 졌네,1
신인이 긴장한상태에서 실수를해도 끝까지 침착하게 부른걸 칭찬해야하는거 아닌가? 왜이렇게 사람 못잡아먹어 안달인지,1
너 진짜 씹창@ 같다,1
한국 들어오는 러시아 선원들부터 맞춰서 보내라.우리나라에 민폐끼치지 말고.,1
이 ᄒ%ᄂᄂ!,1
~빠가 ~빠가 ~빠가,1
너 진짜 ᄀ-ᄌᄀ 같다,1
완전 ^ᄌᄁ이네,1
ᄌ@ᄅᄋᄀ아,1
ᄀᄉᄁᄁ 꺼져,1
너 진짜 좋만한것 같다,1
멤버중에 하하가 제일 먼저 알았을듯,1
1회에 교도소에서 마취도 없이 자기몸 꿰매는거랑뜨거운 커피말고 차가운거만먹는거보고아랏는데 난 무통증 무감각이라고,1
완전 씨@발년이네,1
10새야 꺼져,1
씨ㅍㅏ아,1
완전 18쎄리이네,1
가독성 ᄊ^ㅎㅌㅊ,1
이 똘추놈놈!,1
그게 왜 김도읍한테 지랄할 일이지?,0
혹시 ᄀᄀ%ᄇ임?,1
완전 씹같은은이네,1
저 ᄋᄆᄋᄅ- 때문에 게임 졌네,1
씁쓸하네요.김흥국씨 돈벌이 못하게되면 부인분도 힘들텐데...좀 참으시지요. 십여년 동안 같이 안살다가 합치니 얼마나 힘들지 이해는합니다만...참..기러기가족 문제의 단적인 예.,1
짤 씨뵐 ㅋㅋㅋㅋㅋ,1
저 ᄋᄅᄌ# 때문에 게임 졌네,1
완전 ᄂᄇᄋ이네,1
너 진짜 ~ᄃᄀᄅ 같다,1
저 ^찌질이 때문에 게임 졌네,1
오 고맙다 .전니게 패야지 !,1
G랄 하네. 보자보자 하니까,0
주디 꺼져,1
사람마다 입맛이다른데 ㅅㅂㄹㅁ,1
완전 ~ᄌᄌᄂ이네,1
부모가 능력이 있어서 그러는데~자식에게 이정도는 해줘도 되지 않나요??사기를 친것도 아니고나도 저정도 능력되면 이정도는 얼마든지 해줄듯,1
걸래가튼뇬,1
해골이 변했는데 다이어트래 ㅋ,0
형광등 켠 저 피부 너무 부러움. 그냥 흰 게 아니라 화사하고 밝다. 피부과 가면 저렇게 만들어 주나요. 나도 좀 해보게~~,1
완전 #느금마이네,1
저 ^저년 때문에 게임 졌네,1
엄마없는 페미 김치새키들 지들은 남탕몰카 쳐보면서만화에서 해산물 깨트린건 졸라까네?ㅋㅋ,0
쐐뀌,1
대가리에 필터없는 연봉 30억 강사vs대가리가 없는 용접공,0
노조원의 잦은 파업과 근무태만 작업중 유튜브 시청 등의 건성근무로 인한 높은 불량률을 해결하기 전에는 국산차를 구매해 그들의 터무니없는 월급을 지불하는데에 조금이라도 보탬이 되어선 안됩니다.,1
초등학생들도 많이 보는 네이버 웹툰에 저런 쓰레기 같은 만화 올리는 게 말이 되냐,0
그만들좀 해라 ㅋㅋ개나소나 미투 ㅇㅈㄹ하넼ㅋㅋㅋ하여간 계집련들은 남자등쳐먹는거말곤 할줄아는거 없지,0
너 진짜 띠봉 같다,1
아니 저 금동현 자리에 진우가 있어야 한다며 ??,1
게임이랑 술은 씨@빨 왜,1
늘 불행하고 힘들었는데 최자만나서 그동안은 행복했던것같구만,1
꼽사리* 꺼져,1
아 씻퐁 ㅋㅋㅋ,1
개_같네아,1
이 쉬이바!,1
기자님 이성재요???육인데,1
너 진짜 ᄒᄂ_ 같다,1
완전 ᄀᄊᄉ~ᄁ이네,1
씨부랠 씨부랠 씨부랠,1
저 습세 때문에 게임 졌네,1
탕웨이에서 무릎을탁치고갑니다 선미가 원래예뻣는데 더예뻐진비결이 딱나오네,1
씹썅%년 꺼져,1
죶나 역겹다 산업폐기물보다 못한새끼들ㄷ오유충등 일베와서 민주화주고가노,1
코로나19 집단발병지 인근엔 미군부대가 있지. 우한에서는 작년 가을 세계군인체육대회를 했어.,0
바포메트 #개쉐끼 ^^ㅗ,1
이 #ᄄᄉᄁ!,1
이게 맞지 일게이들 운동선수는 몸상하는거 아니냐 노가다 아니냐해도 이쁜연예인들 만나고 결혼하는거보면 인식자체가 노가다랑 다른건데 이런걸 이해못함,0
9일당일오전외부에서들었다면그건아무상관없는거죠.여론몰이하지잉ㆍㄹ길,1
ᄌ ᄆ ᄌ ᄆ ᄌ ᄆ,1
딴거 있냐 행동이 병신이니깐 그런듯 하다,1
너 진짜 씁얼 같다,1
너 진짜 -꼽다 같다,1
샹년#,1
기안 기죽지말고 힘내요긍정의 힘 잃지말고 이 또한 성숙한 웹툰 작가가 되는 아픔이겠지~ 다듬어지는 멋진 작가가 되세요~,1
-ᄊᄅᄀᄂ아,1
좆만^한놈아,1
닥~쳐 꺼져,1
혹시 빠가#씹새끼임?,1
완전 호로새.끼야이네,1
너 진짜 씨팔뇬 같다,1
그런데 승리는?,1
혹시 ᄌ@ᄉ임?,1
혹시 ᄆᄎᄎᄎᄊᄂ임?,1
아 *개갈보 ㅋㅋㅋ,1
왜^놈아,1
비만은 창피한거에요 자기관리를 못하는거니까요 부끄러운줄 아세요,0
ᄂᄌᄌᄄ 꺼져,1
기자년이 제대로 미쳤구나~,0
혹시 .ᄌᄆᄒᄀ임?,1
저 개씹창^ 때문에 게임 졌네,1
썅# 썅# 썅#,1
이제는 포르쉐 갖고도 안되고 벤틀리 람볼기니 롤즈로이스 정도는 돼야 외제차 소리를 듣는 시대다. 웬만하면 국산사라. 그게 나 자신에게도 도움이 된다. 차값은 세금으로 급여로 협력업체에게로 지출되는 것이고 그것들은 다시 나의 소득으로도 돌아오게 돼있다. 이렇게 돈은 돌고 돌 수록 승수효과를 높여서 경제를 활성화시킨다. 코로나 국면으로 어려워진 우리 경제를 조금이나마 도우려면 국산을 써라.,1
니미si-bal 꺼져,1
뒈진_다,1
이 #저년!,1
웜에 찌질이들천지노 개노잼,1
ᄒᄆᄌᄉ% ᄒᄆᄌᄉ% ᄒᄆᄌᄉ%,1
이 좆이^!,1
이 ᄇᄋ@!,1
그건 모르겠고 갑자기 이 듣보잡이 쳐나대는게꼴보기싫음,0
이름부터 재수없다. 찾아보니 영어로 게샤 gesha 라고 불리기도 하는데 굳이 게이샤라고 수십번을 반복하나,1
너 진짜 개좆좆좆도 같다,1
매니저보려고 보는프로인데 매니저가 개성도없고 웃기지도않고... 크러쉬혼자 다하는거같음..,1
너 진짜 ^개걸레 같다,1
쳐 자라,0
하 씨발 나라가 어떻게 되가는거냐,1
대한민국 계집년들은 악플을 밥먹듯이 달면서 살마들 죽여놓고 그 잘못을 꼭 다른사람한테 전가함 전혀 반성을 안함 미개한 대한민국 계집년들,0
ᄌᄁᄁ아,1
완전 개쉽이네,1
골프예능은 정말 신박하네요. 요새 신선한 방송 콘텐츠들이 많이 나오는 것 같아 볼게 많아 진 것 같습니다. 골프는 다른 스포츠에비해서 잘몰랐는데 이번 기회를 통해서 많이 알 수 있었던 것 같습니다! 재밌어요!,1
너 진짜 시이팍 같다,1
호레,1
똥새끼끼 꺼져,1
"13일 현대차에 따르면 올 들어 국내 소비자들의 수입차 구매의향률이 3년 만에 하락세를 보였다."""" ???",1
개_새끼 꺼져,1
존나 씨발 꺼져,1
ᄌᄀ~ᄂ 꺼져,1
씨*발이 씨*발이 씨*발이,1
적당히 해라 운전하다보면 보복운전 하고싶은 경우가 얼마나 많은데 그냥 이해하고 나도 그런상황만들수 잇으니 넘어가는거지 여기 댓글쓰는사람들은 운전자 아닌듯하다,1
와 씨발 ㅋㅋㅋㅋㅋㅋㅋㅋ일베 가는 속도보소,1
씨븡아,1
ᄋ#ᄆᄌᄂ아,1
완전 _개썅이네,1
이 #썅놈!,1
저 ᄊ@ᄇᄌᄉ 때문에 게임 졌네,1
벌벌벌레년,1
ᄂᄀ@ᄆᄎᄂ아,1
잡~놈,1
이 ᄌᄃᄋ!,1
~칭챙총 ~칭챙총 ~칭챙총,1
혹시 ᄆᄎᄊᄇᄇᄇ임?,1
저 개_잡년 때문에 게임 졌네,1
아 젖대가리 ㅋㅋㅋ,1
씹때꺄아,1
저 상_놈 때문에 게임 졌네,1
아 졷내 ㅋㅋㅋ,1
응 페미년 자국이라고 나누는 너가 인종차별주의자다,0
정해인에게 치여서 현생불가. 인생 처음 입덕 내배우 정해인 고맙고 사랑해❤️❤️❤️ 차기작도 너무 기다리게 하지 마여,1
혹시 개~새끼임?,1
사회에 아무 도움 안되는 없어도 그만인 벌레새끼들임,1
아 -씨발놈 ㅋㅋㅋ,1
걸레% 걸레% 걸레%,1
ᄀᄀᄋᄂᄂᄂ ᄀᄀᄋᄂᄂᄂ ᄀᄀᄋᄂᄂᄂ,1
아 ᄒ*ᄅᄌᄉ ㅋㅋㅋ,1
이 @ᄀᄊᄉᄁ!,1
이 ㅆㅂㄻ!,1
아아아가리,1
이야 빡대가리들 많네 ㅋㅋ 니들차 3번고장에 협의잘안되면 영업사원한테 홍천까지 고기사오라고 시켜되는거냐ㅋㅋ 대체 뭐가갑질이냐는 뇌사상태인 놈들은 뭐야,0
피해자들이 보면 얼마나 가슴아플까요 굳이 올리는건..,1
싶펄아,1
아 불*알 ㅋㅋㅋ,1
후-다년,1
집에서도 그러고 다니면 자기만족 인정어차피 집에서는 트레이닝 아니면 빤스바람으로 다닐텐데 자기만족은 _니미,1
너 진짜 저년년년 같다,1
음방 볼때마다 체널 돌리게됨;;;;,1
이 기사가 어제 저녁 부터 오늘 하루종일 메인에 떠있을 뉴스인가? 뭣이 중헌디?,1
ᄀᄀᄋ ᄀᄀᄋ ᄀᄀᄋ,1
이런 염병할,1
난 첨부터 예원 응원했음~ 예원 응원하는 사람들 많으니까 화이팅!! (악플다는애들은 소수고 인생낭비자들이니 신경쓰지마삼),1
얘도 뭐 입으로 훅 가겠네 조만간... 넷플릭스 스탠딩 나온다던데 거기서 짤되서 돌아다닐 헛소리 몇개 있으면 그냥 커뮤니티에서 씹히면서 빠빠잉~ 분위기 나올 듯,0
씨발씹-새끼 꺼져,1
둘이 사귀어라,1
사장한테 하소연하든가,1
너 진짜 앰창_ 같다,1
혹시 좃임?,1
완전 씨씨발새끼이네,1
고자~ 꺼져,1
혹시 씹^같임?,1
아 ᄃ.ᄀᄅ ㅋㅋㅋ,1
외국놈이 죽은거 까지 알아야되냐? 그것도 딴따라 음악 만들던 놈인데,0
의사는 왜 씀??.. 친구면 친구지 직업보고 친구하는거임??,1
저 빠가씹새끼끼끼끼 때문에 게임 졌네,1
좇미개*;;,1
정말 재정신이 아닌넘,0
비와이는 예수님이 지켰다,1
너 진짜 ᄉᄁᄃᄃ 같다,1
아 로딩 조옷같이~ 김 어떻게 해결하냐 크롬씀,1
아 ᄊᄇ*ᄂ ㅋㅋㅋ,1
호.로개자식,1
진짜 개극혐 직업이다 ㄹㅇ,0
야 댓글 재기주지마 존나 티나노 ㅋㅋㅋㅋㅋㅋ이때싶 정의당 까면서 표몰이 하려고 하는 거,1
혹시 @개씹새끼임?,1
한남들 데이트폭력 근절해주세요 특히 애인 아내 죽이는 한남에게 사형을 주세요 그리고 가정 폭력범은 신상을 공개해주세요,0
쓰방 쓰방 쓰방,1
이게현실이라는게 참 슬프다ㅜㅜ,1
첫추행에 반박하고 부서이동하지않았는지 4년이라는. 그긴. 시간을. 왜 참고 곁에 있는었는지 ㅡ그거부터 알고싶다ㅡ,1
좌빨들은 남핑게로 먹고 사는듯 ! 좌빨 = 중2이병 = 재앙이 = 좃국 ㅋㅋ이거이거 모르면 간첩,0
우리나라에선 행복하면 밉상돼요,1
진짜 본인애니보고 딸치게 생긴 씹덕 얼굴상 얼굴깐글에 욕도 박을수있으니 김치응딩이 ㅅㅌㅊ,0
혹시 개놈아아아아임?,1
미 친것,1
그럼 군복무도 전화하면 면제되는거네. 오늘부터 시작인가?,1
ᄌᄃ.아,1
이 ᄊᄂ~!,1
아 니그로- ㅋㅋㅋ,1
#ᄌᄌᄂ,1
ᄌᄆᄒᄂᄂᄂ,1
진짜 궁금해서 그런데 온유리가 부사장 혼외자인건가요? 아님 불륜녀인가요? 전 여태 불륜녀 인데 혼외자로속이는줄 알고 드라마 봤는데..,1
멍청한 사화주의자들의 결과. 결국 배민과 같은 플렛폼 사업이 꽁으로 돈버는 게 아니라는 뜻이 되네요. 그들은 소비자에게 편의성을 제공하면서 그에 따르는 이윤을 가져가는 겁니다.,1
호로년* 꺼져,1
혹시 개부뢀임?,1
김혜준 배우님 대세는 백합때부터 꼭 뜰거라고 생각했었어요ㅠㅠ축하드려요!!!!,1
.ᄒᄅᄀᄌᄂ아,1
저시끼들 본색을,0
그러니까 왜 막벌렸냐 이기야,1
ㅅㅂ 용산 홈플러스앞에서 짝녀한테 비타민선물 줫었는데 ㅠㅠ,1
수능영어에서 문법강의 2개밖에 없는거 알지?그래서 대부분 구문독해 강의 많이 듣는데김기훈 천일문 인강 들은 애들은 병신이라서 그거 들었냐? ㅋㅋㅋEBS에서 그래머 존 종합편으로 강의한건 정말 좋지만메가시절에는 영문법 말고는 별로였다.오히려 독해는 김기훈 김우철 최원규 이 분들이 괜찮았지.,0
흑형% 꺼져,1
3번째 다리가 웅장해진다..,1
씹새*끼 씹새*끼 씹새*끼,1
너 진짜 ᄊᄇᄇᄂ 같다,1
미친짜식~~정준영이나 승리나 쓰레기나이 어린것들이 못 된것만 배워가지고욕도 아깝다,0
혹시 니좆 때임?,1
ᄆᄎᄎᄎᄂ 꺼져,1
오 축구선수 전적말벅지에 그만...,1
ᄊᄇ- 꺼져,1
너 진짜 ᄌ*ᄆᄒ 같다,1
완전 그_새끼이네,1
이 개년아-!,1
혹시 ~똘기임?,1
그래도 외모도 괜찮고 끼도 있으니 다른 분야에서 활약할수 있을거임...20대 중반이면 아직 한창이다,1
ᄒᄅᄌᄉ.아,1
완전 ᄊᄂ.ᄋ이네,1
유희열님 미추리개꿀인데게스트로 나와주세욤ㅎㅎ유유커플 꿀쟁,1
저 병닥 때문에 게임 졌네,1
미친,0
아 ᄀᄂᄋᄋᄉᄁ ㅋㅋㅋ,1
이 ᄃᄃᄌᄅ!,1
와 근본 진짜 지리네,1
벌레놈_ 꺼져,1
지랄@육갑아,1
ᄉᄊᄅᄀ,1
좇미개;;,1
아동 성범죄자는 모가지 따버렸으면 좋겠음 솔직히,1
저 ᄄᄀᄆ~ 때문에 게임 졌네,1
ᄋ%ᄉᄁ아,1
저 씨발허접접접접 때문에 게임 졌네,1
미혼모 ㅗ,1
지들이 자초한일 좀더 당해봐야,1
이서진 노인네들하고 놀면 늙어 바보야,0
미스터 트롯중에 김호중만 사건사고가 너무 많은건 왜인지? 너무 시끄러운 이유는 뭔지? 요사이 안나오는 프로 없이 다 나오는게 이제는 식상하고 나오면 재미없어서 채널 돌린다,1
ᄌ~,1
완전 ᄊ*ᄋᄂᄋ이네,1
씌블 씌블 씌블,1
"난 4종류 먹어봄 오르가즘 ? 니비조또 ㅋ 성병,임신걱정만 얻음 우머나이저 사라 1분이면 오르가즘 느낌",1
너 진짜 개새@ 같다,1
아가리리리를 때려 버리고 싶네. 조랄 싫어하는거 티를 내는데 왜케 지저분거리냐?,1
.잡새끼 꺼져,1
민주당 새퀴들아 대통령이 담배꽁초쳐밖혀있는데 아직도 북한에굽신될꺼냐? 한심한새퀴들,0
돌아%이아,1
염병% 꺼져,1
단속안하나 이씨발,1
맛좋은 산이 당신은 좀 짜져,0
역시 놀란 감독이네요.좋은 의미와 나쁜 의미 양쪽에서 모두...타임 슬립물은 많았지만 인버전 된 세계의 체험은 첨이네요.,1
죄앙이새키도 쫌,0
쌍*놈아,1
혹시 계집년*임?,1
좆같은,1
완전 개불^알이네,1
혹시 왜@놈임?,1
너 진짜 ᄋᄅᄃᄂ 같다,1
누워서 보는 내가 레전드다,1
좆같같 꺼져,1
그 돈으로 독감주사나 무료접종하게 하지.. 이제 환절기라서 독감환자도 나올텐데.. 병원이나 선별진료소 어떻게 감당할려구 ㅜㅜ,1
같은 페미년들이 죽인것이지,0
ᄀ ᄂᄋᄉᄁ아,1
너 진짜 쉽년 같다,1
복비 50 만원이 적당함 너무비쌈,1
강의력도 없고 얼굴만 믿고 깝치는 거라 더 좆같음,0
